Nodes:
ID, X, Y, Z
556, 35.500, 6.000, 0.000
557, 34.650, 6.500, 0.000
558, 33.800, 7.000, 0.000
559, 32.950, 7.500, 0.000
560, 32.100, 8.000, 0.000
561, 31.250, 8.500, 0.000
562, 30.400, 9.000, 0.000
563, 29.550, 9.500, 0.000
564, 46.900, 0.500, 0.000
565, 46.000, 1.000, 0.000
566, 45.100, 1.500, 0.000
567, 44.200, 2.000, 0.000
568, 43.300, 2.500, 0.000
569, 42.400, 3.000, 0.000
570, 41.500, 3.500, 0.000
571, 40.600, 4.000, 0.000
572, 39.700, 4.500, 0.000
573, 38.800, 5.000, 0.000
574, 37.900, 5.500, 0.000
575, 37.000, 6.000, 0.000
576, 36.100, 6.500, 0.000
577, 35.200, 7.000, 0.000
578, 34.300, 7.500, 0.000
579, 33.400, 8.000, 0.000
580, 32.500, 8.500, 0.000
581, 31.600, 9.000, 0.000
582, 30.700, 9.500, 0.000
583, 48.950, 0.500, 0.000
584, 48.000, 1.000, 0.000
585, 47.050, 1.500, 0.000
586, 46.100, 2.000, 0.000
587, 45.150, 2.500, 0.000
588, 44.200, 3.000, 0.000
589, 43.250, 3.500, 0.000
590, 42.300, 4.000, 0.000
591, 41.350, 4.500, 0.000
592, 40.400, 5.000, 0.000
593, 39.450, 5.500, 0.000
594, 38.500, 6.000, 0.000
595, 37.550, 6.500, 0.000
596, 36.600, 7.000, 0.000
597, 35.650, 7.500, 0.000
598, 34.700, 8.000, 0.000
599, 33.750, 8.500, 0.000
600, 32.800, 9.000, 0.000
601, 31.850, 9.500, 0.000
602, 12.100, -19.000, 0.000
603, 12.100, -18.000, 0.000
604, 12.100, -17.000, 0.000
605, 12.100, -16.000, 0.000
606, 12.100, -15.000, 0.000
607, 12.100, -14.000, 0.000
608, 12.100, -13.000, 0.000
609, 12.100, -12.000, 0.000
610, 12.100, -11.000, 0.000
611, 12.100, -10.000, 0.000
612, 12.100, -9.000, 0.000
613, 12.100, -8.000, 0.000
614, 12.100, -7.000, 0.000
615, 12.100, -6.000, 0.000
616, 12.100, -5.000, 0.000
617, 12.100, -4.000, 0.000
618, 12.100, -3.000, 0.000
619, 12.100, -2.000, 0.000
620, 12.100, -1.000, 0.000
621, 14.200, -19.000, 0.000
622, 14.200, -18.000, 0.000
623, 14.200, -17.000, 0.000
624, 14.200, -16.000, 0.000
625, 14.200, -15.000, 0.000
626, 14.200, -14.000, 0.000
627, 14.200, -13.000, 0.000
628, 14.200, -12.000, 0.000
629, 14.200, -11.000, 0.000
630, 14.200, -10.000, 0.000
631, 14.200, -9.000, 0.000
632, 14.200, -8.000, 0.000
633, 14.200, -7.000, 0.000
634, 14.200, -6.000, 0.000
635, 14.200, -5.000, 0.000
636, 14.200, -4.000, 0.000
637, 14.200, -3.000, 0.000
638, 14.200, -2.000, 0.000
639, 14.200, -1.000, 0.000
640, 16.300, -19.000, 0.000
641, 16.300, -18.000, 0.000
642, 16.300, -17.000, 0.000
643, 16.300, -16.000, 0.000
644, 16.300, -15.000, 0.000
645, 16.300, -14.000, 0.000
646, 16.300, -13.000, 0.000
647, 16.300, -12.000, 0.000
648, 16.300, -11.000, 0.000
649, 16.300, -10.000, 0.000
650, 16.300, -9.000, 0.000
651, 16.300, -8.000, 0.000
652, 16.300, -7.000, 0.000
653, 16.300, -6.000, 0.000
654, 16.300, -5.000, 0.000
655, 16.300, -4.000, 0.000
656, 16.300, -3.000, 0.000
657, 16.300, -2.000, 0.000
658, 16.300, -1.000, 0.000
659, 18.400, -19.000, 0.000
660, 18.400, -18.000, 0.000
661, 18.400, -17.000, 0.000
662, 18.400, -16.000, 0.000
663, 18.400, -15.000, 0.000
664, 18.400, -14.000, 0.000
665, 18.400, -13.000, 0.000
666, 18.400, -12.000, 0.000
667, 18.400, -11.000, 0.000
668, 18.400, -10.000, 0.000
669, 18.400, -9.000, 0.000
670, 18.400, -8.000, 0.000
671, 18.400, -7.000, 0.000
672, 18.400, -6.000, 0.000
673, 18.400, -5.000, 0.000
674, 18.400, -4.000, 0.000
675, 18.400, -3.000, 0.000
676, 18.400, -2.000, 0.000
677, 18.400, -1.000, 0.000
678, 20.500, -19.000, 0.000
679, 20.500, -18.000, 0.000
680, 20.500, -17.000, 0.000
681, 20.500, -16.000, 0.000
682, 20.500, -15.000, 0.000
683, 20.500, -14.000, 0.000
684, 20.500, -13.000, 0.000
685, 20.500, -12.000, 0.000
686, 20.500, -11.000, 0.000
687, 20.500, -10.000, 0.000
688, 20.500, -9.000, 0.000
689, 20.500, -8.000, 0.000
690, 20.500, -7.000, 0.000
691, 20.500, -6.000, 0.000
692, 20.500, -5.000, 0.000
693, 20.500, -4.000, 0.000
694, 20.500, -3.000, 0.000
695, 20.500, -2.000, 0.000
696, 20.500, -1.000, 0.000
697, 22.600, -19.000, 0.000
698, 22.600, -18.000, 0.000
699, 22.600, -17.000, 0.000
700, 22.600, -16.000, 0.000
701, 22.600, -15.000, 0.000
702, 22.600, -14.000, 0.000
703, 22.600, -13.000, 0.000
704, 22.600, -12.000, 0.000
705, 22.600, -11.000, 0.000
706, 22.600, -10.000, 0.000
707, 22.600, -9.000, 0.000
708, 22.600, -8.000, 0.000
709, 22.600, -7.000, 0.000
710, 22.600, -6.000, 0.000
711, 22.600, -5.000, 0.000
712, 22.600, -4.000, 0.000
713, 22.600, -3.000, 0.000
714, 22.600, -2.000, 0.000
715, 22.600, -1.000, 0.000
716, 24.700, -19.000, 0.000
717, 24.700, -18.000, 0.000
718, 24.700, -17.000, 0.000
719, 24.700, -16.000, 0.000
720, 24.700, -15.000, 0.000
721, 24.700, -14.000, 0.000
722, 24.700, -13.000, 0.000
723, 24.700, -12.000, 0.000
724, 24.700, -11.000, 0.000
725, 24.700, -10.000, 0.000
726, 24.700, -9.000, 0.000
727, 24.700, -8.000, 0.000
728, 24.700, -7.000, 0.000
729, 24.700, -6.000, 0.000
730, 24.700, -5.000, 0.000
731, 24.700, -4.000, 0.000
732, 24.700, -3.000, 0.000
733, 24.700, -2.000, 0.000
734, 24.700, -1.000, 0.000
735, 26.800, -19.000, 0.000
736, 26.800, -18.000, 0.000
737, 26.800, -17.000, 0.000
738, 26.800, -16.000, 0.000
739, 26.800, -15.000, 0.000
740, 26.800, -14.000, 0.000
741, 26.800, -13.000, 0.000
742, 26.800, -12.000, 0.000
743, 26.800, -11.000, 0.000
744, 26.800, -10.000, 0.000
745, 26.800, -9.000, 0.000
746, 26.800, -8.000, 0.000
747, 26.800, -7.000, 0.000
748, 26.800, -6.000, 0.000
749, 26.800, -5.000, 0.000
750, 26.800, -4.000, 0.000
751, 26.800, -3.000, 0.000
752, 26.800, -2.000, 0.000
753, 26.800, -1.000, 0.000
754, 28.900, -19.000, 0.000
755, 28.900, -18.000, 0.000
756, 28.900, -17.000, 0.000
757, 28.900, -16.000, 0.000
758, 28.900, -15.000, 0.000
759, 28.900, -14.000, 0.000
760, 28.900, -13.000, 0.000
761, 28.900, -12.000, 0.000
762, 28.900, -11.000, 0.000
763, 28.900, -10.000, 0.000
764, 28.900, -9.000, 0.000
765, 28.900, -8.000, 0.000
766, 28.900, -7.000, 0.000
767, 28.900, -6.000, 0.000
768, 28.900, -5.000, 0.000
769, 28.900, -4.000, 0.000
770, 28.900, -3.000, 0.000
771, 28.900, -2.000, 0.000
