Nodes:
ID, X, Y, Z
333, 2.937, 4.250, 0.000
334, 2.875, 4.500, 0.000
335, 2.812, 4.750, 0.000
336, 2.750, 5.000, 0.000
337, 2.687, 5.250, 0.000
338, 2.625, 5.500, 0.000
339, 2.562, 5.750, 0.000
340, 2.500, 6.000, 0.000
341, 2.438, 6.250, 0.000
342, 2.375, 6.500, 0.000
343, 2.313, 6.750, 0.000
344, 2.250, 7.000, 0.000
345, 2.188, 7.250, 0.000
346, 2.125, 7.500, 0.000
347, 2.063, 7.750, 0.000
348, 2.000, 8.000, 0.000
349, 1.938, 8.250, 0.000
350, 1.875, 8.500, 0.000
351, 1.813, 8.750, 0.000
352, 1.750, 9.000, 0.000
353, 1.688, 9.250, 0.000
354, 1.625, 9.500, 0.000
355, 1.563, 9.750, 0.000
356, 4.725, 0.250, 0.000
357, 4.650, 0.500, 0.000
358, 4.575, 0.750, 0.000
359, 4.500, 1.000, 0.000
360, 4.425, 1.250, 0.000
361, 4.350, 1.500, 0.000
362, 4.275, 1.750, 0.000
363, 4.200, 2.000, 0.000
364, 4.125, 2.250, 0.000
365, 4.050, 2.500, 0.000
366, 3.975, 2.750, 0.000
367, 3.900, 3.000, 0.000
368, 3.825, 3.250, 0.000
369, 3.750, 3.500, 0.000
370, 3.675, 3.750, 0.000
371, 3.600, 4.000, 0.000
372, 3.525, 4.250, 0.000
373, 3.450, 4.500, 0.000
374, 3.375, 4.750, 0.000
375, 3.300, 5.000, 0.000
376, 3.225, 5.250, 0.000
377, 3.150, 5.500, 0.000
378, 3.075, 5.750, 0.000
379, 3.000, 6.000, 0.000
380, 2.925, 6.250, 0.000
381, 2.850, 6.500, 0.000
382, 2.775, 6.750, 0.000
383, 2.700, 7.000, 0.000
384, 2.625, 7.250, 0.000
385, 2.550, 7.500, 0.000
386, 2.475, 7.750, 0.000
387, 2.400, 8.000, 0.000
388, 2.325, 8.250, 0.000
389, 2.250, 8.500, 0.000
390, 2.175, 8.750, 0.000
391, 2.100, 9.000, 0.000
392, 2.025, 9.250, 0.000
393, 1.950, 9.500, 0.000
394, 1.875, 9.750, 0.000
395, 5.512, 0.250, 0.000
396, 5.425, 0.500, 0.000
397, 5.337, 0.750, 0.000
398, 5.250, 1.000, 0.000
399, 5.162, 1.250, 0.000
400, 5.075, 1.500, 0.000
401, 4.987, 1.750, 0.000
402, 4.900, 2.000, 0.000
403, 4.812, 2.250, 0.000
404, 4.725, 2.500, 0.000
405, 4.637, 2.750, 0.000
406, 4.550, 3.000, 0.000
